text,label
"Your account has been suspended. Click http://fake-bank.com to verify",1
"Update your password immediately to avoid suspension",1
"Your bank account requires urgent verification",1
"Click here to confirm your login credentials",1
"Your mailbox storage is full. Update your account now",1
"Urgent! Verify your account at http://secure-login-update.com",1
"Security alert: Reset your password immediately",1
"Your payment failed. Verify your details now",1
"Congratulations! You won a prize. Click the link to claim",1
"Account verification required to avoid deactivation",1
"Meeting scheduled for tomorrow at 10 AM",0
"Thank you for your purchase. Invoice attached",0
"Project report submission deadline is Friday",0
"Team lunch has been moved to next week",0
"Please find the attached meeting minutes",0
"Your order has been successfully delivered",0
"Reminder: Attend the training session tomorrow",0
"The quarterly sales report is attached",0
"Happy Birthday! Have a great day",0
"Your leave request has been approved",0
